"Response ID","Date submitted","Last page","Start language","What are you doing in the context of scientific publications? [I write papers.]","What are you doing in the context of scientific publications? [I read papers.]","What are you doing in the context of scientific publications? [Other]","What are your research fields? [Biology]","What are your research fields? [Computer science]","What are your research fields? [Economics]","What are your research fields? [Geosciences]","What are your research fields? [Humanities]","What are your research fields? [Law]","What are your research fields? [Mathematics]","What are your research fields? [Medical science]","What are your research fields? [Physics]","What are your research fields? [Politics]","What are your research fields? [Other]","How often do you publish your research in a way that allows others to recompute the results given in your paper?","How often do your publications contain linkages to the dataset underlying the paper, e.g. a URL to the .zip file?","How often do your publications contain persistent URLs to the dataset, e.g. digital object identifiers (DOI)?","How often do your publications contain linkages to the source-code that is necessary to repeat the computational steps given in your paper, e.g. a URL to your GitHub repository?","How often do your publications contain persistent URLs to the source-code, e.g. digital object identifiers (DOI)?","How often do you try to reproduce the results given in publications from other authors?","How often did you successfully reproduce the results given in publications from other authors?","Relating to your last five publications, how often did you incorporate the following visualizations? [Maps]","Relating to your last five publications, how often did you incorporate the following visualizations? [Time series]","Relating to your last five publications, how often did you incorporate the following visualizations? [Histogram]","Relating to your last five publications, how often did you incorporate the following visualizations? [Pie chart]","Relating to your last five publications, how often did you incorporate the following visualizations? [Bar chart]","Relating to your last five publications, how often did you incorporate the following visualizations? [Line chart]","Relating to your last five publications, how often did you incorporate the following visualizations? [Dot chart]","Relating to your last five publications, how often did you incorporate the following visualizations? [Scatter plot]","Relating to your last five publications, how often did you incorporate the following visualizations? [Box-whisker plot]","Relating to your last five publications, how often did you incorporate the following visualizations? [Function graph]","Relating to your last five publications, how often did you incorporate the following visualizations? [Tree diagram]","Relating to your last five publications, how often did you incorporate the following visualizations? [Network diagram]","Relating to your last five publications, how often did you incorporate the following visualizations? [Flow chart]","Relating to your last five publications, how often did you incorporate the following visualizations? [Class diagram]","Relating to your last five publications, how often did you incorporate the following visualizations? [Venn diagram]","Relating to your last five publications, how often did you incorporate the following visualizations? [Videos]","Relating to your last five publications, how often did you incorporate the following visualizations? [Pictures]","While reading a scientific publication that is related to my own research work, I would like to... [change the model used in the paper to see if the results change.]","While reading a scientific publication that is related to my own research work, I would like to... [change one (or more) input variables to the model used in the paper to see if the results are robust to changes in the underlying assumptions.]","While reading a scientific publication that is related to my own research work, I would like to... [leave out some of the data records used in the paper in order to see if the results change.]","While reading a scientific publication that is related to my own research work, I would like to... [compare the results given in the paper with my results after changing, for example, input variables.]","While reading a scientific publication that is related to my own research work, I would like to... [use the analysis method described in the paper with a different dataset.]","While reading a scientific publication that is related to my own research work, I would like to... [see the source-code used to compute the diagrams, images, and tables in the paper.]","While reading a scientific publication that is related to my own research work, I would like to... [download the source-code used to compute the diagrams, images, and tables in the paper.]","While reading a scientific publication that is related to my own research work, I would like to... [see the datasets underlying the paper.]","While reading a scientific publication that is related to my own research work, I would like to... [download the datasets underlying the paper.]","While reading a scientific publication that is related to my own research work, I would like to... [use the datasets underlying the paper with a different analysis method.]","While reading a scientific publication that is related to my own research work, I would like to... [interact with figures in the paper, e.g. zooming into diagrams or panning on maps.]","While reading a scientific publication that is related to my own research work, I would like to... [easily jump to other sources cited in the paper.]","While reading a scientific publication that is related to my own research work, I would like to... [do nothing more than reading the paper.]","It would be useful for my research work, if I could directly search for and get immediate access to... [the source-code used in scientific publications.]","It would be useful for my research work, if I could directly search for and get immediate access to... [datasets used in scientific publications.]","It would be useful for my research work, if I could directly search for and get immediate access to... [methods used in scientific publications.]","It would be useful for my research work, if I could directly search for and get immediate access to... [research questions formulated in scientific publications.]","It would be useful for my research work, if I could directly search for and get immediate access to... [hypotheses formulated in scientific publications.]","For my research work I would like to search for other scientific publications on the web by using... [spatial properties or constraints, e.g. a spatial extent.]","For my research work I would like to search for other scientific publications on the web by using... [temporal properties or constraints, e.g. a period of time.]","For my research work I would like to search for other scientific publications on the web by using... [thematic properties or constraints, e.g. ""climate change"".]","Please tell us your age.","Please tell us your gender.","Years in research.","If you would like to keep informed about the project or maybe become involved, for example, by providing one of your papers to make it reproducible or by participating in further studies, we would appreciate if you enter your email address in the field below.  	For more information, see http://o2r.info/. ","Do you have any further comments?"
"72","1980-01-01 00:00:00","4","en","Yes","Yes","","No","Yes","No","Yes","No","No","Yes","No","No","No","","never","never","","never","","rarely","never","often","never","sometimes","never","rarely","never","never","sometimes","sometimes","rarely","never","never","sometimes","never","rarely","never","never","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","agree","strongly agree","disagree","agree","disagree","neither agree nor disagree","agree","agree","agree","neither agree nor disagree","agree","agree","agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","agree","26 - 35","Female","8","",""
"53","1980-01-01 00:00:00","4","en","No","No","I run peer review","Yes","No","No","No","No","No","No","No","No","No","","","","","","","sometimes","often","","","","","","","","","","","","","","","","","","agree","neither agree nor disagree","disagree","disagree","agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","disagree","disagree","disagree","strongly agree","strongly agree","agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","36 - 45","Male","18","",""
"73","","","en","N/A","N/A","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","","1","en","No","Yes","","No","No","No","Yes","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","1980-01-01 00:00:00","4","en","Yes","Yes","","Yes","No","No","No","No","No","Yes","No","No","No","","always","always","often","always","often","often","often","never","never","sometimes","never","never","","often","sometimes","sometimes","sometimes","never","sometimes","never","never","never","never","never","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","strongly disagree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","agree","agree","agree","26 - 35","Female","10","",""
"55","1980-01-01 00:00:00","4","en","Yes","Yes","","Yes","No","No","No","No","No","No","Yes","No","No","","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","never","","sometimes","never","sometimes","rarely","often","often","often","never","never","never","often","never","never","never","never","agree","agree","agree","agree","strongly agree","strongly agree","strongly agree","strongly agree","agree","agree","strongly agree","neither agree nor disagree","disagree","strongly agree","strongly agree","strongly agree","strongly agree","strongly agree","disagree","disagree","agree","36 - 45","Female","15","",""
"75","1980-01-01 00:00:00","4","en","Yes","Yes","","Yes","No","No","Yes","No","No","No","No","No","No","","often","never","","sometimes","rarely","never","","often","often","sometimes","rarely","rarely","rarely","rarely","often","often","never","never","never","never","never","never","never","sometimes","strongly agree","strongly agree","neither agree nor disagree","neither agree nor disagree","agree","disagree","disagree","strongly agree","disagree","neither agree nor disagree","neither agree nor disagree","strongly agree","neither agree nor disagree","neither disagree nor agree","agree","agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","neither disagree nor agree","26 - 35","Female","","",""
"56","1980-01-01 00:00:00","4","en","Yes","Yes","","Yes","No","No","No","No","No","No","No","No","No","","always","often","often","always","rarely","sometimes","sometimes","rarely","rarely","sometimes","rarely","sometimes","rarely","rarely","sometimes","rarely","never","never","never","sometimes","never","never","never","never","agree","agree","agree","agree","agree","neither agree nor disagree","disagree","agree","neither agree nor disagree","disagree","disagree","neither agree nor disagree","disagree","agree","agree","agree","strongly disagree","strongly disagree","strongly disagree","agree","agree","26 - 35","Female","7","","The question on what figures I've had in papers was too difficult and I doubt the validity of my answers. I do not remember all of my figures."
"67","","1","en","Yes","Yes","","No","No","No","Yes","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","1980-01-01 00:00:00","4","en","No","Yes","","Yes","No","No","No","No","No","No","No","No","No","metascience","","","","","","sometimes","rarely","","","","","","","","","","","","","","","","","","agree","agree","neither agree nor disagree","neither agree nor disagree","strongly agree","agree","agree","agree","agree","agree","disagree","disagree","disagree","neither disagree nor agree","strongly agree","strongly agree","agree","strongly agree","agree","agree","neither disagree nor agree","26 - 35","Male","5","",""
